x,y
138.0,2.0
388.0,2.0
103.0,4.0
138.0,5.0
366.0,5.0
411.0,4.0
22.0,6.0
287.0,6.0
80.0,7.0
119.0,7.0
315.0,8.0
359.0,8.0
76.0,11.0
90.0,11.0
102.0,11.0
499.0,10.0
120.0,11.0
414.0,13.0
95.0,13.0
292.0,14.0
304.0,13.0
131.0,15.0
366.0,15.0
88.0,17.0
118.0,16.0
153.0,16.0
157.0,16.0
95.0,18.0
3.0,18.0
22.0,18.0
127.0,18.0
107.0,19.0
215.0,20.0
99.0,21.0
208.0,21.0
367.0,22.0
117.0,23.0
150.0,23.0
276.0,23.0
147.0,23.0
321.0,24.0
126.0,25.0
162.0,25.0
317.0,24.0
112.0,25.0
122.0,25.0
250.0,25.0
296.0,28.0
405.0,27.0
112.0,28.0
139.0,27.0
169.0,27.0
178.0,27.0
325.0,28.0
366.0,29.0
21.0,30.0
205.0,31.0
414.0,30.0
98.0,31.0
119.0,31.0
202.0,33.0
193.0,34.0
98.0,36.0
119.0,36.0
282.0,40.0
417.0,38.0
19.0,40.0
300.0,40.0
51.0,41.0
111.0,40.0
124.0,42.0
303.0,41.0
87.0,43.0
315.0,42.0
330.0,44.0
324.0,43.0
91.0,44.0
445.0,44.0
18.0,46.0
43.0,45.0
108.0,45.0
12.0,47.0
436.0,46.0
108.0,48.0
365.0,48.0
76.0,49.0
114.0,50.0
63.0,51.0
281.0,52.0
90.0,54.0
105.0,54.0
100.0,56.0
58.0,59.0
178.0,58.0
37.0,60.0
310.0,61.0
14.0,64.0
90.0,64.0
192.0,64.0
495.0,64.0
22.0,65.0
27.0,65.0
96.0,65.0
87.0,67.0
110.0,67.0
306.0,67.0
9.0,67.0
199.0,67.0
202.0,68.0
492.0,70.0
487.0,70.0
8.0,72.0
95.0,74.0
339.0,74.0
90.0,74.0
142.0,75.0
486.0,75.0
317.0,77.0
59.0,79.0
102.0,79.0
184.0,81.0
278.0,79.0
98.0,79.0
288.0,80.0
307.0,80.0
150.0,80.0
195.0,82.0
218.0,81.0
249.0,80.0
285.0,81.0
470.0,82.0
473.0,82.0
493.0,83.0
362.0,87.0
321.0,87.0
18.0,89.0
421.0,89.0
464.0,89.0
392.0,90.0
474.0,90.0
403.0,90.0
492.0,91.0
123.0,92.0
348.0,92.0
427.0,91.0
480.0,91.0
278.0,92.0
446.0,92.0
504.0,93.0
498.0,93.0
158.0,98.0
277.0,98.0
442.0,99.0
494.0,100.0
336.0,101.0
430.0,100.0
483.0,102.0
149.0,104.0
133.0,105.0
489.0,105.0
421.0,106.0
426.0,106.0
139.0,107.0
360.0,111.0
138.0,113.0
277.0,114.0
402.0,115.0
349.0,116.0
157.0,116.0
79.0,118.0
171.0,118.0
185.0,118.0
360.0,120.0
353.0,120.0
75.0,122.0
59.0,123.0
181.0,124.0
361.0,124.0
22.0,125.0
387.0,128.0
6.0,129.0
372.0,131.0
379.0,129.0
468.0,130.0
465.0,130.0
145.0,132.0
184.0,135.0
395.0,136.0
457.0,134.0
503.0,135.0
4.0,136.0
20.0,137.0
398.0,138.0
358.0,140.0
412.0,140.0
417.0,141.0
315.0,144.0
99.0,145.0
319.0,145.0
201.0,146.0
356.0,147.0
59.0,149.0
149.0,149.0
68.0,152.0
314.0,152.0
330.0,152.0
318.0,152.0
8.0,153.0
182.0,155.0
400.0,154.0
78.0,156.0
254.0,157.0
210.0,158.0
8.0,161.0
505.0,160.0
225.0,161.0
319.0,161.0
336.0,162.0
254.0,163.0
149.0,164.0
