source_index,target_index,edge_weight
0,3,12.414213562373096
0,33,24.899494936611667
1,2,22.82842712474619
1,18,28.82842712474619
1,25,24.792417163603837
2,4,12.414213562373096
2,25,17.071067811865476
3,7,53.48528137423857
3,32,23.48528137423857
4,6,24.242640687119287
4,19,11.0
5,8,10.242640687119286
5,20,13.899494936611667
6,7,9.0
6,38,23.77995987511004
7,40,36.863484975469305
8,16,20.31370849898476
8,29,17.89292222699217
9,11,25.300563079745768
10,15,16.650281539872886
11,12,3.414213562373095
12,14,13.650281539872886
13,16,30.27769853784241
13,28,11.899494936611667
14,15,5.576491222541475
14,24,10.06449510224598
15,24,5.0
16,26,9.071067811865476
17,20,4.0
17,30,17.313708498984763
18,48,17.307135789365265
18,51,19.307135789365265
19,21,7.0
19,36,17.549776476484553
20,29,14.899494936611667
21,37,11.478708664619074
22,23,61.52033922496169
22,27,16.30056307974577
22,34,11.242640687119284
23,27,14.656854249492381
23,31,7.3005630797457695
24,65,28.691912100215504
25,35,7.0
26,28,8.414213562373096
26,46,14.485281374238571
27,31,20.071067811865476
27,34,21.478708664619074
28,66,27.206630725976932
29,39,4.414213562373095
30,53,11.82842712474619
31,76,29.206630725976932
32,33,11.0
32,42,4.414213562373095
33,45,56.57649122254148
33,63,15.485281374238571
34,45,5.650281539872885
35,36,3.23606797749979
35,44,9.414213562373096
35,58,13.478708664619075
37,38,7.82842712474619
38,47,9.23606797749979
38,64,11.414213562373096
39,43,4.0
39,55,15.72134935173836
40,41,5.0
40,50,9.65685424949238
41,42,9.0
41,80,31.213203435596423
42,54,9.414213562373096
43,46,10.414213562373096
43,57,11.0
44,48,21.478708664619077
46,52,5.414213562373095
47,49,10.414213562373096
47,62,10.65685424949238
48,51,13.23606797749979
48,95,32.549776476484546
49,50,14.0
49,59,9.06449510224598
50,72,19.96399003885765
51,53,30.06449510224598
52,60,6.242640687119285
52,67,26.72134935173836
53,56,3.414213562373095
54,63,9.242640687119286
54,100,32.97056274847714
55,56,20.23606797749979
55,61,7.16227766016838
55,71,12.242640687119284
56,82,17.82842712474619
57,60,8.0
57,61,7.0
58,120,44.30713578936526
59,62,3.0
59,72,10.721349351738361
60,73,18.071067811865476
61,71,7.414213562373095
62,68,9.071067811865476
63,69,6.0
64,68,8.478708664619074
64,74,10.06449510224598
65,81,16.48528137423857
65,92,64.45584412271572
66,67,13.47213595499958
66,86,40.20663072597692
67,70,5.0
