source_index,target_index,edge_weight
0,3,15.064495102245981
0,17,8.242640687119286
1,9,12.714776642118865
1,12,5.23606797749979
2,7,8.0
2,8,7.23606797749979
2,20,14.89292222699217
3,4,17.414213562373096
3,17,12.65685424949238
4,18,13.478708664619075
5,13,10.478708664619074
5,19,7.242640687119286
6,35,23.38477631085024
6,36,33.03505785072312
7,15,15.478708664619075
8,20,8.0
9,12,7.23606797749979
9,23,44.863484975469305
9,79,52.78584445398434
10,16,12.650281539872886
10,28,11.414213562373096
11,26,10.82842712474619
12,69,42.647559034406946
13,18,10.0
13,19,6.576491222541474
14,32,15.721349351738361
14,42,28.970562748477143
16,29,31.549776476484553
16,44,22.31370849898476
17,51,26.970562748477143
18,51,37.284271247461895
19,25,21.819131909660758
19,90,63.59797974644666
20,27,5.0
21,24,16.06449510224598
21,30,4.414213562373095
22,33,5.650281539872885
22,43,16.233345472033857
23,58,28.798989873223334
24,28,22.242640687119284
24,61,31.62741699796952
25,26,11.414213562373096
25,55,20.242640687119284
26,31,3.414213562373095
27,29,6.0
27,38,14.714776642118865
28,44,8.414213562373096
29,67,49.35533905932736
30,37,11.65685424949238
30,45,10.414213562373096
31,34,4.0
31,39,11.242640687119284
32,33,6.0
32,49,13.899494936611667
33,43,12.071067811865476
34,35,43.071067811865476
34,39,6.23606797749979
35,36,7.0
36,46,9.071067811865476
37,45,13.485281374238571
37,48,18.30713578936527
38,41,19.414213562373096
39,59,39.96399003885764
40,41,4.0
42,47,5.23606797749979
42,50,14.064495102245981
43,52,8.65685424949238
43,56,10.485281374238571
44,61,10.828427124746192
45,53,5.0
46,47,10.828427124746192
46,60,10.478708664619075
47,60,11.307135789365265
48,75,28.61427157873053
48,78,35.106125662588596
49,50,6.0
49,52,12.828427124746192
50,65,22.38477631085024
51,54,3.0
53,73,35.33630906121409
53,80,24.242640687119287
54,99,43.277698537842404
55,63,15.307135789365265
55,85,24.650281539872886
56,57,10.414213562373096
56,76,19.485281374238568
57,58,7.16227766016838
57,62,9.06449510224598
58,62,10.43397840021018
60,65,13.727922061357857
60,109,48.41983416157336
61,66,12.0
62,71,7.82842712474619
62,103,47.103403157122656
63,81,18.313708498984763
63,83,13.650281539872886
64,74,8.06449510224598
65,68,3.0
66,67,5.23606797749979
66,73,10.255832815336873
66,91,22.37820360123074
67,72,8.82842712474619
68,93,22.02848514110363
68,119,37.94112549695427
69,70,3.0
69,79,11.899494936611667
70,77,6.650281539872885
71,76,5.414213562373095
71,86,10.47213595499958
73,84,11.95153275036385
74,75,11.650281539872886
74,89,16.899494936611667
75,78,36.65685424949238
75,89,10.650281539872886
76,82,6.0
77,87,16.307135789365265
78,80,8.23606797749979
79,87,5.0
80,88,3.414213562373095
81,83,9.414213562373096
81,116,31.21320343559643
82,86,6.242640687119286
82,136,36.041630560342604
83,85,13.16227766016838
83,138,34.863484975469305
84,88,16.414213562373096
85,90,48.47870866461908
85,137,29.31370849898476
86,113,13.828427124746192
87,97,10.12899020449196
88,92,5.0
89,104,9.0
90,96,8.06449510224598
91,98,11.82842712474619
91,102,45.30713578936526
92,102,4.414213562373095
92,115,25.72792206135786
93,109,14.071067811865476
94,95,3.414213562373095
94,96,8.414213562373096
95,99,17.82842712474619
95,112,8.23606797749979
96,108,7.414213562373095
97,103,8.23606797749979
97,117,8.82842712474619
98,101,19.414213562373096
99,107,2.8284271247461903
100,101,13.478708664619074
102,110,5.0
103,128,23.14213562373095
104,105,5.23606797749979
104,111,12.828427124746192
104,121,11.89292222699217
105,106,13.828427124746192
105,121,9.0
106,107,4.0
106,162,28.82842712474619
107,112,20.064495102245978
108,118,4.82842712474619
108,146,27.62084428835003
109,130,11.307135789365265
109,148,22.206630725976936
110,124,15.064495102245981
110,150,18.242640687119284
111,115,12.414213562373096
111,141,25.206630725976932
112,118,9.414213562373096
112,175,37.970562748477136
113,131,19.313708498984763
113,151,20.0
114,120,7.123105625617661
114,123,31.48528137423857
115,125,10.307135789365265
116,126,6.414213562373095
117,122,9.242640687119286
