x,y
407.0,1.0
278.0,2.0
300.0,2.0
395.0,2.0
312.0,3.0
196.0,4.0
335.0,4.0
344.0,4.0
187.0,5.0
80.0,8.0
19.0,11.0
56.0,10.0
53.0,11.0
150.0,12.0
40.0,13.0
35.0,13.0
170.0,13.0
208.0,14.0
260.0,14.0
312.0,14.0
204.0,14.0
319.0,14.0
467.0,16.0
494.0,17.0
35.0,18.0
295.0,17.0
165.0,20.0
481.0,21.0
157.0,21.0
192.0,21.0
222.0,22.0
499.0,22.0
389.0,23.0
400.0,23.0
461.0,23.0
295.0,24.0
298.0,23.0
323.0,24.0
330.0,26.0
191.0,25.0
371.0,24.0
376.0,24.0
385.0,24.0
187.0,25.0
286.0,25.0
456.0,25.0
177.0,26.0
339.0,27.0
266.0,29.0
349.0,28.0
363.0,28.0
253.0,30.0
176.0,31.0
224.0,33.0
386.0,33.0
201.0,35.0
221.0,34.0
187.0,36.0
291.0,36.0
346.0,36.0
179.0,36.0
194.0,36.0
343.0,36.0
394.0,36.0
331.0,37.0
16.0,39.0
140.0,39.0
153.0,39.0
337.0,42.0
394.0,42.0
153.0,44.0
195.0,43.0
353.0,44.0
166.0,44.0
328.0,46.0
473.0,47.0
506.0,46.0
469.0,48.0
503.0,48.0
187.0,50.0
361.0,49.0
8.0,51.0
219.0,51.0
4.0,52.0
346.0,51.0
361.0,52.0
107.0,54.0
325.0,55.0
346.0,55.0
159.0,56.0
86.0,57.0
211.0,58.0
72.0,58.0
114.0,58.0
174.0,59.0
275.0,58.0
165.0,59.0
203.0,59.0
219.0,62.0
275.0,62.0
374.0,61.0
43.0,62.0
62.0,64.0
148.0,64.0
219.0,66.0
374.0,66.0
268.0,67.0
310.0,69.0
148.0,70.0
382.0,69.0
96.0,71.0
414.0,70.0
230.0,71.0
277.0,72.0
382.0,74.0
414.0,75.0
496.0,75.0
147.0,76.0
255.0,77.0
85.0,78.0
294.0,77.0
453.0,78.0
248.0,78.0
367.0,79.0
447.0,79.0
46.0,81.0
76.0,81.0
100.0,81.0
140.0,80.0
108.0,81.0
284.0,82.0
292.0,82.0
418.0,82.0
22.0,84.0
422.0,82.0
410.0,84.0
56.0,84.0
218.0,84.0
267.0,84.0
367.0,85.0
395.0,88.0
283.0,89.0
406.0,89.0
138.0,90.0
22.0,91.0
376.0,92.0
44.0,92.0
364.0,96.0
425.0,94.0
215.0,96.0
311.0,97.0
207.0,99.0
213.0,99.0
490.0,100.0
376.0,101.0
431.0,100.0
35.0,101.0
125.0,101.0
342.0,103.0
371.0,102.0
25.0,103.0
125.0,104.0
312.0,103.0
409.0,104.0
431.0,104.0
491.0,105.0
386.0,105.0
438.0,105.0
450.0,108.0
25.0,107.0
428.0,106.0
488.0,106.0
214.0,108.0
289.0,109.0
306.0,108.0
258.0,111.0
203.0,112.0
213.0,112.0
103.0,113.0
136.0,113.0
12.0,113.0
368.0,115.0
450.0,115.0
488.0,119.0
304.0,116.0
474.0,115.0
245.0,116.0
439.0,117.0
198.0,118.0
