source_index,target_index,edge_weight
0,3,3.0
1,4,23.819131909660758
1,48,31.863484975469316
2,9,17.242640687119287
2,13,19.72134935173836
2,14,7.414213562373095
3,21,12.721349351738361
3,25,19.378203601230744
4,11,8.06449510224598
4,22,10.0
5,17,10.06449510224598
6,28,23.970562748477143
6,29,12.0
7,19,9.714776642118863
8,12,5.656854249492381
8,13,11.30056307974577
9,16,4.414213562373095
10,20,12.892922226992171
10,40,18.12899020449196
11,22,11.65685424949238
11,40,44.62741699796951
12,23,14.307135789365265
12,55,71.00289809373432
12,68,41.274976032376465
12,72,36.55634918610404
13,18,5.650281539872885
13,23,6.39834563766817
14,18,7.650281539872885
14,31,10.478708664619074
15,110,67.4558441227157
16,21,13.064495102245981
16,24,5.650281539872885
17,57,17.82842712474619
17,77,46.591407036827164
18,27,5.0
19,20,12.23606797749979
19,38,20.135562914111457
19,47,15.048627177541054
20,43,18.72792206135786
21,30,5.650281539872885
21,39,19.899494936611664
22,35,7.414213562373095
23,27,7.16227766016838
23,58,20.233345472033857
24,30,9.576491222541476
24,31,12.06449510224598
24,36,7.23606797749979
25,26,4.0
25,37,8.06449510224598
26,42,10.89292222699217
27,33,5.242640687119286
29,55,12.23606797749979
30,41,7.23606797749979
31,33,8.650281539872886
31,44,8.65685424949238
32,34,7.414213562373095
32,46,36.89292222699217
33,58,10.414213562373096
34,52,32.48528137423857
34,56,11.06449510224598
35,54,7.414213562373095
36,44,5.82842712474619
36,45,5.650281539872885
37,39,3.0
37,42,12.650281539872886
38,46,26.82842712474619
38,47,21.714776642118863
39,50,9.65685424949238
40,43,4.0
40,53,5.656854249492381
41,45,4.0
41,50,13.828427124746192
42,51,7.82842712474619
43,47,22.65685424949238
44,49,3.0
45,59,7.242640687119285
46,56,48.721349351738354
47,64,22.233345472033854
47,67,13.245165457218397
48,54,39.650281539872886
48,57,10.242640687119284
49,59,8.06449510224598
49,69,13.242640687119286
50,70,22.384776310850235
51,52,9.0
51,93,35.31370849898476
52,61,19.071067811865476
53,54,41.41421356237309
53,74,17.81913190966076
54,84,19.23606797749979
55,66,10.650281539872886
56,60,3.82842712474619
57,65,9.242640687119286
58,62,5.0
59,63,5.0
60,61,9.414213562373096
60,98,35.142135623730944
61,93,30.79898987322333
62,76,11.307135789365265
62,80,14.721349351738361
63,69,9.478708664619075
63,70,8.30056307974577
64,88,12.16227766016838
64,105,37.30403608529898
65,82,22.899494936611667
65,136,52.65685424949238
66,78,6.23606797749979
66,81,11.478708664619074
67,71,3.414213562373095
68,79,9.478708664619075
68,87,15.963990038857649
69,80,6.242640687119285
70,86,13.721349351738361
70,115,40.2776985378424
71,73,12.414213562373096
71,95,22.899494936611667
72,76,4.414213562373095
72,85,13.714776642118865
73,75,9.23606797749979
74,75,6.16227766016838
74,84,36.65685424949238
74,113,33.54977647648455
75,95,24.38477631085024
76,89,10.414213562373096
77,82,10.30056307974577
77,130,48.35533905932738
78,79,26.242640687119287
78,81,6.16227766016838
78,96,19.152982445082948
79,94,17.307135789365265
80,83,3.0
83,86,6.650281539872885
